step,pend_rad,arm_rad,pend_vel,arm_vel,voltage,late,controller
196,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
197,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
198,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
199,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
200,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
201,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
202,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
203,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
204,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
205,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
206,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
207,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
208,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
209,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
210,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
211,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
212,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
213,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
214,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
215,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
216,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
217,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
218,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
219,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
220,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
221,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
222,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
223,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
224,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
225,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
226,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
227,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
228,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
229,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
230,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
231,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
232,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
233,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
234,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
235,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
236,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
237,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
238,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
239,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
240,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
241,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
242,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
243,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
244,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
245,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
246,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
247,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
248,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
249,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
250,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
251,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
252,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
253,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
254,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
255,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
256,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
257,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
258,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
259,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
260,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
261,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
262,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
263,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
264,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
265,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
266,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
267,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
268,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
269,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
270,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
271,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
272,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
273,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
274,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
275,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
276,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
277,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
278,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
279,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
280,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
281,0.0,0.0,-0.0,0.0,0.0,0,TQC/DroQ
